POSSEQ1	1	CD CC CD NN NNP
POSSEQ2	1	CD CC CD NNS
POSSEQ3	1	CD IN NN NNS
POSSEQ4	1	CD JJ JJ NN
POSSEQ5	1	CD JJ NN
POSSEQ6	1	$ CD JJ NN ( NNP ) NN NN
POSSEQ7	1	CD JJ NN NNS
POSSEQ8	1	CD JJ NN VBN ( NNP ) NNP NN NN
POSSEQ9	1	CD ( NN , NN ) CD NN
POSSEQ10	1	CD NN NN IN DT JJ NN
POSSEQ11	1	( CD ) NN ( NN ) NN ( NN ) NN : NN ( NN ) NN
POSSEQ12	1	CD NN NNP
POSSEQ13	1	CD NN NNP , CD NN NNP CC CD NN NNP
POSSEQ14	1	( CD ) NN ( NNP ) IN ( NNP NNP CD )
POSSEQ15	1	CD NN NNP JJ NNS
POSSEQ16	1	( CD ) NN ( NNP ) NN
POSSEQ17	1	CD NNP IN CD
POSSEQ18	1	CD NNS IN JJ NNS
POSSEQ19	1	CD NNS IN NNP NNS
POSSEQ20	1	CD VBG
POSSEQ21	1	DT
POSSEQ22	1	DT JJ JJ
POSSEQ23	1	DT JJ JJ NN IN DT NN NN NN
POSSEQ24	1	DT JJ NN IN DT NN
POSSEQ25	1	DT JJ NN IN DT NN NNS IN DT NN
POSSEQ26	1	DT JJ NN IN NN NN NNS
POSSEQ27	1	DT JJ NN JJ JJ IN JJ NN
POSSEQ28	1	DT JJ NN NN CD NN
POSSEQ29	1	DT JJ NNP
POSSEQ30	1	DT JJ NNP IN CD NNS
POSSEQ31	1	DT JJ NNP VBN NN
POSSEQ32	1	DT JJ NNS ( NNP ) NN
POSSEQ33	1	DT JJ NNS VBG DT NN IN NN IN JJ JJ JJ NNS
POSSEQ34	1	DT JJR NN NN VBZ TO VB VBN IN DT JJR NN IN VBG NNS
POSSEQ35	1	DT JJS NN IN NNP
POSSEQ36	1	DT JJ VBN NN
POSSEQ37	1	DT NN CC NN NNS
POSSEQ38	1	DT NN IN DT JJ
POSSEQ39	1	DT NN IN DT JJ NN NN IN NN
POSSEQ40	1	DT NN IN DT JJ NN NN TO VB DT NNS IN NN NNS
POSSEQ41	1	DT NN IN DT NN
POSSEQ42	1	DT NN IN DT NN IN DT NNS VBZ JJ
POSSEQ43	1	DT NN IN DT NNP NN
POSSEQ44	1	DT NN IN DT NNS VBZ DT JJS NNS
POSSEQ45	1	DT NN IN JJ NN NN NN
POSSEQ46	1	DT NN IN JJ NNS VBG VBD NNS
POSSEQ47	1	DT NN IN NN
POSSEQ48	1	DT NN IN NN IN NNS VBZ DT NN NN
POSSEQ49	1	DT NN IN NNP
POSSEQ50	1	DT NN IN NNS
POSSEQ51	1	DT NN JJ NN
POSSEQ52	1	DT NN JJ NN VBZ DT JJ NNS IN DT NN
POSSEQ53	1	DT NN MD VB RP IN NNS NNP NN
POSSEQ54	1	DT NN NN CC VBD JJ NNS
POSSEQ55	1	DT NN NN NN IN NN NN
POSSEQ56	1	DT NN NN NNS
POSSEQ57	1	DT NN NNS
POSSEQ58	1	DT NN NNS IN VBN JJ NNS
POSSEQ59	1	DT NNP CC NNP NNS
POSSEQ60	1	DT NNP IN JJ NNS
POSSEQ61	1	DT NNP NN
POSSEQ62	1	DT NNP NN NN
POSSEQ63	1	DT NNS CC RB DT NN VBP JJ
POSSEQ64	1	DT NNS , IN IN NN IN NN
POSSEQ65	1	DT NNS IN JJ NN
POSSEQ66	1	DT NN VBZ DT JJ NN , NNP , CC DT NN NN , NNP
POSSEQ67	1	DT NN VBZ VBG DT JJ JJ NN NN
POSSEQ68	1	DT NN WRB DT NN VBZ DT JJ JJ NN VBZ VBN RB IN DT VBG JJ NNS WDT VBP RB VBN IN DT NN
POSSEQ69	1	DT RB JJR JJ NN
POSSEQ70	1	DT RBS JJ , JJ , CC JJ NNP NNS
POSSEQ71	1	DT VBN NN
POSSEQ72	1	FW NNP CC JJ NNP NN
POSSEQ73	1	IN CC IN VBG
POSSEQ74	1	IN DT JJ NN IN DT NN NN NN IN NN NN NN
POSSEQ75	1	IN DT JJ NNS
POSSEQ76	1	IN DT JJ NNS IN DT NN IN NNS
POSSEQ77	1	IN DT NN
POSSEQ78	1	IN DT NN DT NN VBZ IN DT NN NN IN JJ NNS
POSSEQ79	1	IN DT NN IN DT NNS IN DT NN JJ
POSSEQ80	1	IN DT NN IN NNP
POSSEQ81	1	IN DT NN IN NNP ( NNP ) NN
POSSEQ82	1	IN DT NNS
POSSEQ83	1	IN DT NNS IN NN NNS
POSSEQ84	1	IN DT NNS VBP NN NNS
POSSEQ85	1	IN DT NN WRB DT NNS VBP VBG
POSSEQ86	1	IN DT VBG NNS IN VBG JJ NNS
POSSEQ87	1	IN JJ NN
POSSEQ88	1	IN NN IN
POSSEQ89	1	IN NNP NNP NN
POSSEQ90	1	JJ CC DT JJ NNS
POSSEQ91	1	JJ CC DT NN JJ NN NNS
POSSEQ92	1	JJ CC DT NN NNS IN DT NNP NN
POSSEQ93	1	JJ CC JJ JJ NN IN NN NN
POSSEQ94	1	JJ CC JJ NN IN DT NN NN NNS
POSSEQ95	1	JJ CC JJ NNS NNS VBP JJ
POSSEQ96	1	JJ CC NN JJ CC JJ NN NNS IN VBN NNS
POSSEQ97	1	JJ CC NNP NNP
POSSEQ98	1	JJ CC NNP VBP JJ JJ NN
POSSEQ99	1	JJ CC NN VBN NN NNS
POSSEQ100	1	JJ CC VBD
POSSEQ101	1	JJ CD IN CD JJ NNS
POSSEQ102	1	JJ $ CD NN CC , IN JJ , DT JJ NN
POSSEQ103	1	JJ CD VBZ DT NN NNS VBP IN NN
POSSEQ104	1	JJ DT NN NNS IN DT JJ NNP
POSSEQ105	1	JJ IN DT JJ NNP NN VBD
POSSEQ106	1	JJ IN DT NN JJ ( CC RB ) NN NN
POSSEQ107	1	JJ ( IN NN IN JJ ) NN
POSSEQ108	1	JJ JJ NN CC NN NN
POSSEQ109	1	JJ JJ NN IN DT JJ NN
POSSEQ110	1	JJ JJ NN IN JJ NNS
POSSEQ111	1	JJ JJ NN IN NN
POSSEQ112	1	JJ JJ NN IN NNS
POSSEQ113	1	JJ , JJ NN JJ NN
POSSEQ114	1	JJ JJ NN JJ NN
POSSEQ115	1	JJ JJ NN JJ NN .
POSSEQ116	1	JJ JJ NN JJ NN JJ NNS
POSSEQ117	1	JJ JJ NN JJS NN NN
POSSEQ118	1	JJ JJ NN JJ TO VB NN IN DT NN
POSSEQ119	1	JJ JJ NN NN IN DT NN NN
POSSEQ120	1	JJ JJ NN NN JJ NN NN
POSSEQ121	1	JJ JJ NN NN NN
POSSEQ122	1	JJ JJ NN NNS CC NNS
POSSEQ123	1	JJ JJ NNP NN NNS
POSSEQ124	1	JJ JJ NNP NNP NN NNP NNS
POSSEQ125	1	JJ JJ NNS CC NNS
POSSEQ126	1	JJ JJ NNS IN NNP NN
POSSEQ127	1	JJ JJ NNS TO DT NN JJ TO DT NN IN DT JJ NNS
POSSEQ128	1	JJ JJ NNS VBG NNS VBP VBN
POSSEQ129	1	JJ JJ NNS VBP
POSSEQ130	1	JJ JJ NNS WDT VBP DT NN IN DT NN NNS
POSSEQ131	1	JJ JJ NN VBG NN NN
POSSEQ132	1	JJ JJ VBD VBN
POSSEQ133	1	( JJ ) NN
POSSEQ134	1	JJ NN CC JJ NN IN VBG
POSSEQ135	1	JJ NN CC JJ NN NN NNS
POSSEQ136	1	JJ NN CC JJ NN NNS
POSSEQ137	1	JJ NN CC NN IN VBG NN
POSSEQ138	1	JJ NN CC NN NN
POSSEQ139	1	JJ NN CC NN NN IN DT JJ NN NN
POSSEQ140	1	JJ NN CC NNP VBG
POSSEQ141	1	JJ NN CC NNS IN DT NN IN DT JJ NN NN TO DT IN JJ NN
POSSEQ142	1	JJ NN CC NNS TO VB
POSSEQ143	1	JJ NN CC VBD
POSSEQ144	1	JJ NN CC VB JJ NNS
POSSEQ145	1	JJ NN ( CD ) VBZ JJ
POSSEQ146	1	JJ NN IN CD CC CD NNS
POSSEQ147	1	JJ NN IN DT JJ JJ NN
POSSEQ148	1	JJ NN IN DT JJ JJ NN ,
POSSEQ149	1	JJ NN IN DT JJ JJ NN NN
POSSEQ150	1	JJ NN IN DT JJ JJ NNP NNP NNP NN
POSSEQ151	1	JJ NN IN DT JJ NN IN DT NN NN NN
POSSEQ152	1	JJ NN IN DT JJ NN IN DT NNP NN
POSSEQ153	1	JJ NN IN DT JJ NN IN JJ JJ NN NN
POSSEQ154	1	JJ NN IN DT NN CC NN IN DT NN
POSSEQ155	1	JJ NN IN DT NN IN DT NN NN NN
